,title,wakati_title
po000306,第三回　函館市内中等学校　雄弁大会,"['三', '回', '函館市内', '中等学校', '雄弁', '大会']"
po000307,知学　田中巴之助先生特別大講演会,"['知', '学', '田中', '巴', '先生', '特別', '講演会']"
po000308,日本聖公会組織四十年記念　基督教講演会,"['日本聖公会', '組織', '四', '十', '年', '記念', '基督教', '講演会']"
po000309,第3回公演　国防資献金音楽会,"['3回', '公演', '国防', '資', '献金', '音楽会']"
po000310,医学智識普及後援会,"['医学', '智識', '普及', '後援会']"
po000311,北光トリオ第一回大演奏会,"['北光', 'トリオ', '一', '回', '大', '演奏会']"
po000312,筑前琵琶宗家　橘旭宗先生歓迎大演奏会,"['筑前琵琶', '宗家', '橘', '旭', '宗', '先生', '歓迎', '演奏会']"
po000313,音楽大演奏会,"['音楽', '演奏会']"
po000314,音楽と童謡舞踊の夕,"['音楽', '童謡', '舞踊', '夕']"
po000315,第一回　演奏会,"['一', '回', '演奏会']"
po000316,画邦　橋浦泰雄個人展覧会,"['画', '邦', '橋浦泰雄: error', '個人', '展覧会']"
po000317,児童自由画懸賞募集,"['児童', '自由', '画', '懸賞', '募集']"
po000318,マンドリンオルケストラ公開演奏会,"['マンドリンオルケストラ: error', '公開', '演奏会']"
po000319,明治大学ハーモニカ　ソサェティー大演奏会,"['明治大学', 'ハーモニカ', 'ソサェティー: error', '演奏会']"
po000320,コロムビア専属芸術家　巴里ラムルウ管弦楽団独唱者　佐藤美子独唱会,"['コロムビア', '専属', '芸術家', '巴里', 'ラムルウ: error', '管弦楽団', '独唱', '者', '佐藤美子: error', '独唱', '会']"
po000321,我が楽界の巨星　山田耕作氏作品発表大演奏会,"['楽界', '巨星', '山田耕作', '氏', '作品', '発表', '演奏会']"
po000322,駒ヶ嶽爆発罹災義捐大演奏会　早稲田大学オーケストラ団一行,"['駒ヶ嶽', '爆発', '罹災', '義捐', '演奏会', '早稲田大学', 'オーケストラ', '団', '一', '行']"
po000323,コドモの会,"['コドモ', '会']"
po000324,塗料智識普及宣博,"['塗料', '智識', '普及', '宣博']"
po000326,久留島武彦氏　お伽二十五周年記念会,"['久留島武彦: error', '氏', 'お伽', '二', '十', '五', '周年', '記念', '会']"
po000328,声楽の夕,"['声楽', '夕']"
po000329,満州事情展覧会,"['満州', '事情', '展覧会']"
po000330,海の展覧会,"['海', '展覧会']"
po000331,五稜郭懐旧館は,"['五稜郭', '懐旧', '館']"
po000332,COMMERCIALSHOWROOM,['COMMERCIALSHOWROOM: error']
po000333,函館青森間貨車航送記念共進会,"['函館', '青森', '間', '貨車', '航', '記念', '共進会']"
po000334,福引,['福引']
po000335,北海道畜産産馬共進会,"['北海道', '畜産', '産', '馬', '共進会']"
po000336,釧路海陸物産共進会,"['釧路', '海陸', '物産', '共進会']"
po000337,岩手県物産共進会,"['岩手県', '物産', '共進会']"
po000338,第十五回　全国特産品博覧会,"['十', '五', '回', '全国', '特産品', '博覧会']"
po000340,第十回全国特産品　博覧会開設,"['十', '回', '全国', '特産品', '博覧会', '開設']"
po000341,教育博覧会,"['教育', '博覧会']"
po000342,御聖徳景仰　明治大帝御一代展覧会,"['聖徳', '景仰', '明治', '大帝', '一', '代', '展覧会']"
po000343,大名古屋土地博覧会,"['名古屋', '土地', '博覧会']"
po000344,国産振興　北海道拓殖博覧会,"['国産', '振興', '北海道拓殖: error', '博覧会']"
po000347,函館商品陳列館,"['函館', '商品', '陳列', '館']"
po000350,奥羽六県連合馬匹共進会,"['奥', '羽六', '県', '連合', '馬匹', '共進会']"
po000351,全国優良土産品及包装紙展覧会,"['全国', '優良', '土産', '品', '及', '包装', '紙', '展覧会']"
po000352,メートルとサイズ展覧会,"['メートル', 'サイズ', '展覧会']"
po000353,国防と産業大博覧会,"['国防', '産業', '博覧会']"
po000355,市立電気科学館,"['市立', '電気', '科学館']"
po000356,満蒙資源館,"['満蒙', '資源', '館']"
po000357,紀元二千六百年記念　昭和十五年開催　日本万国博覧会,"['紀元二千六百年', '記念', '昭和', '十', '五', '年', '開催', '日本万国博覧会']"
po000358,日満産業大博覧会,['日満産業大博覧会: error']
po000359,北海道大博覧会,['北海道大博覧会: error']
po000360,名古屋汎太平洋平和博覧会,['名古屋汎太平洋平和博覧会: error']
po000361,開館一周年　市立電気科学館,"['開館', '一周年', '市立', '電気', '科学館']"
po000362,御大典奉祝名古屋博覧会,['御大典奉祝名古屋博覧会: error']
po000364,全国観光地土産品展示会・全国水産製品展示会,"['全国', '観光地', '土産', '品', '展示会', '全国', '水産', '製品', '展示会']"
po000365,全国特産品博覧会,"['全国', '特産品', '博覧会']"
po000366,躍進日本大博覧会,['躍進日本大博覧会: error']
po000372,意匠商標品展覧会,"['意匠', '商標', '品', '展覧会']"
po000373,全国発明品展覧会,"['全国', '発明', '品', '展覧会']"
po000374,防空展覧会,"['防空', '展覧会']"
po000375,第八回　商工省輸出品包装展覧会,"['八', '回', '商工省', '輸出', '品', '包装', '展覧会']"
po000376,聖保禄高女バザー,"['聖', '保', '禄', '高女', 'バザー']"
po000381,第一回函館特産品展覧会,"['一', '回', '函館', '特産品', '展覧会']"
po000384,北海道衛生展覧会,"['北海道', '衛生', '展覧会']"
po000387,網走外三郡物産共進会,"['網走', '外', '三', '郡', '物産', '共進会']"
po000388,第三回札幌工業品々評会,"['三', '回', '札幌', '工業', '品々', '評', '会']"
po000391,第二回十勝物産共進会,"['二', '回', '十', '勝', '物産', '共進会']"
po000395,後志物産共進会,"['後志', '物産', '共進会']"
po000399,山形県郷土史料大展覧会,"['山形県', '郷土史', '料', '展覧会']"
po000400,東郷元帥米寿記念展覧会,"['東郷', '元帥', '米寿', '記念', '展覧会']"
po000401,第四回北海全道家禽共進会,['四回北海全道家禽共進会: error']
